year,month,day,hour,power
2017,10,5,0,1034.74
2017,10,5,1,896.62
2017,10,5,2,799.47
2017,10,5,3,669.83
2017,10,5,4,390.73
2017,10,5,5,290.92
2017,10,5,6,247.57
2017,10,5,7,141.76
2017,10,5,8,218.18
2017,10,5,9,405.44
2017,10,5,10,401.97
2017,10,5,11,513.24
2017,10,5,12,819.34
2017,10,5,13,1136.13
2017,10,5,14,791.26
2017,10,5,15,888.52
2017,10,5,16,691.31
2017,10,5,17,441.4
2017,10,5,18,462.33
2017,10,5,19,568.76
2017,10,5,20,484.87
2017,10,5,21,445.08
2017,10,5,22,620.97
2017,10,5,23,1343.54
2017,10,6,0,1490.89
2017,10,6,1,1203.68
2017,10,6,2,1009.45
2017,10,6,3,604.08
2017,10,6,4,301.84
2017,10,6,5,196.75
2017,10,6,6,210.45
2017,10,6,7,170.39
2017,10,6,8,111.75
2017,10,6,9,237.97
2017,10,6,10,400.7
2017,10,6,11,511.36
2017,10,6,12,814.18
2017,10,6,13,737.6
2017,10,6,14,727.07
2017,10,6,15,869.74
2017,10,6,16,566.09
2017,10,6,17,546.18
2017,10,6,18,422.84
2017,10,6,19,493.78
2017,10,6,20,531.53
2017,10,6,21,531.47
2017,10,6,22,549.78
2017,10,6,23,1370.91
2017,10,7,0,1616.06
2017,10,7,1,1316.96
2017,10,7,2,952.32
2017,10,7,3,656.47
2017,10,7,4,710.95
2017,10,7,5,345.54
2017,10,7,6,320.95
2017,10,7,7,228.16
2017,10,7,8,180.61
2017,10,7,9,314.76
2017,10,7,10,314.65
2017,10,7,11,526.61
2017,10,7,12,787.2
2017,10,7,13,829.3
2017,10,7,14,1018.03
2017,10,7,15,859.73
2017,10,7,16,801.09
2017,10,7,17,683.84
2017,10,7,18,574.02
2017,10,7,19,422.85
2017,10,7,20,603.44
2017,10,7,21,510.06
2017,10,7,22,496.92
2017,10,7,23,1353.16
2017,10,8,0,1613.74
2017,10,8,1,1493.37
2017,10,8,2,939.84
2017,10,8,3,834.03
2017,10,8,4,526.83
2017,10,8,5,352.28
2017,10,8,6,250.03
2017,10,8,7,201.67
2017,10,8,8,209.68
2017,10,8,9,348.79
2017,10,8,10,506.67
2017,10,8,11,497.39
2017,10,8,12,828.21
2017,10,8,13,1195.16
2017,10,8,14,925.55
2017,10,8,15,1009.53
2017,10,8,16,846.87
2017,10,8,17,701.99
2017,10,8,18,699.25
2017,10,8,19,759.55
2017,10,8,20,511.73
2017,10,8,21,466.27
2017,10,8,22,718.36
2017,10,8,23,1381.36
2017,10,9,0,1817.39
2017,10,9,1,1556.04
2017,10,9,2,1061.75
2017,10,9,3,671.37
2017,10,9,4,481.36
2017,10,9,5,390.65
2017,10,9,6,282.21
2017,10,9,7,201.67
2017,10,9,8,188.14
2017,10,9,9,334.6
2017,10,9,10,468.6
2017,10,9,11,671.06
2017,10,9,12,901.61
2017,10,9,13,898.88
2017,10,9,14,1054.36
2017,10,9,15,1083.15
2017,10,9,16,621.48
2017,10,9,17,566.32
2017,10,9,18,493.65
2017,10,9,19,772.98
2017,10,9,20,790.95
2017,10,9,21,739.02
2017,10,9,22,647.14
2017,10,9,23,1675.85
2017,10,10,0,1703.82
2017,10,10,1,1186.86
2017,10,10,2,764.58
2017,10,10,3,461.25
2017,10,10,4,587.48
2017,10,10,5,454.92
2017,10,10,6,352.73
2017,10,10,7,208.22
2017,10,10,8,377.47
2017,10,10,9,447.15
2017,10,10,10,466.09
2017,10,10,11,674.73
2017,10,10,12,938.8
2017,10,10,13,1203.84
2017,10,10,14,1238.34
2017,10,10,15,1145.5
2017,10,10,16,877.35
2017,10,10,17,751.25
2017,10,10,18,472.52
2017,10,10,19,628.61
2017,10,10,20,832.01
2017,10,10,21,657.35
2017,10,10,22,783.24
2017,10,10,23,1613.58
2017,10,11,0,1731.05
2017,10,11,1,1351.15
2017,10,11,2,882.61
2017,10,11,3,568.94
2017,10,11,4,578.33
2017,10,11,5,320.8
2017,10,11,6,268.13
2017,10,11,7,172.54
2017,10,11,8,183.71
2017,10,11,9,337.82
2017,10,11,10,486.1
2017,10,11,11,761.43
2017,10,11,12,1119.77
2017,10,11,13,1202.35
2017,10,11,14,1212.76
2017,10,11,15,1235.11
2017,10,11,16,671.42
2017,10,11,17,584.06
2017,10,11,18,531.66
2017,10,11,19,633.08
2017,10,11,20,686.43
2017,10,11,21,676.01
2017,10,11,22,676.01
2017,10,11,23,1823.18
2017,10,12,0,1845.89
2017,10,12,1,1269.26
2017,10,12,2,1060.75
2017,10,12,3,723.43
2017,10,12,4,493.62
2017,10,12,5,363.8
2017,10,12,6,384.95
2017,10,12,7,271.25
2017,10,12,8,246.54
2017,10,12,9,404.52
2017,10,12,10,541.4
2017,10,12,11,638.32
2017,10,12,12,945.54
2017,10,12,13,1047.04
2017,10,12,14,958.96
2017,10,12,15,1121.48
2017,10,12,16,799.95
2017,10,12,17,514.03
2017,10,12,18,517.9
2017,10,12,19,549.8
2017,10,12,20,651.97
2017,10,12,21,733.5
2017,10,12,22,754.17
2017,10,12,23,1769.06
2017,10,13,0,1943.09
2017,10,13,1,1266.7
2017,10,13,2,954.99
2017,10,13,3,828.55
2017,10,13,4,477.41
2017,10,13,5,447.83
2017,10,13,6,270.49
2017,10,13,7,315.84
2017,10,13,8,237.81
2017,10,13,9,392.8
2017,10,13,10,582.89
2017,10,13,11,644.41
2017,10,13,12,1117.65
2017,10,13,13,1198.53
2017,10,13,14,1269.83
2017,10,13,15,1103.55
2017,10,13,16,850.47
2017,10,13,17,482.44
2017,10,13,18,452.24
2017,10,13,19,568.61
2017,10,13,20,577.55
2017,10,13,21,752.48
2017,10,13,22,740.94
2017,10,13,23,1659.74
2017,10,14,0,1612.19
2017,10,14,1,1344.92
2017,10,14,2,1064.12
2017,10,14,3,842.83
2017,10,14,4,472.38
2017,10,14,5,367.14
2017,10,14,6,293.83
2017,10,14,7,232.58
2017,10,14,8,246.08
2017,10,14,9,357.39
2017,10,14,10,491.6
2017,10,14,11,540.91
2017,10,14,12,847.27
2017,10,14,13,1114.56
2017,10,14,14,1010.14
2017,10,14,15,986.07
2017,10,14,16,888.21
2017,10,14,17,728.97
2017,10,14,18,677.21
2017,10,14,19,539.7
2017,10,14,20,520.78
2017,10,14,21,542.52
2017,10,14,22,735.07
2017,10,14,23,1472.98
2017,10,15,0,1591.13
2017,10,15,1,1215.79
2017,10,15,2,871.89
2017,10,15,3,824.92
2017,10,15,4,538.69
2017,10,15,5,435.34
2017,10,15,6,328.23
2017,10,15,7,156.67
2017,10,15,8,196.37
2017,10,15,9,290.52
2017,10,15,10,444.87
2017,10,15,11,679.47
2017,10,15,12,761.28
2017,10,15,13,967.01
2017,10,15,14,1048.92
2017,10,15,15,1088.24
2017,10,15,16,613.48
2017,10,15,17,659.31
2017,10,15,18,508.73
2017,10,15,19,467.65
2017,10,15,20,592.77
2017,10,15,21,534.89
2017,10,15,22,613.6
2017,10,15,23,1709.86
2017,10,16,0,1979.25
2017,10,16,1,1234.34
2017,10,16,2,1079.06
2017,10,16,3,544.49
2017,10,16,4,398.8
2017,10,16,5,332.51
2017,10,16,6,318.66
2017,10,16,7,135.18
2017,10,16,8,277.12
2017,10,16,9,494.98
2017,10,16,10,421.89
2017,10,16,11,816.37
2017,10,16,12,1183.39
2017,10,16,13,1228.64
2017,10,16,14,1295.01
2017,10,16,15,1168.71
2017,10,16,16,874.9
2017,10,16,17,748.29
2017,10,16,18,589.14
2017,10,16,19,613.02
2017,10,16,20,528.92
2017,10,16,21,617.28
2017,10,16,22,711.62
2017,10,16,23,1779.47
2017,10,17,0,1646.4
2017,10,17,1,1395.9
2017,10,17,2,1222.81
2017,10,17,3,773.71
2017,10,17,4,516.19
2017,10,17,5,362.21
2017,10,17,6,388.04
2017,10,17,7,185.97
2017,10,17,8,231.27
2017,10,17,9,426.17
2017,10,17,10,559.23
2017,10,17,11,612.8
2017,10,17,12,1017.29
2017,10,17,13,1145.08
2017,10,17,14,1037.2
2017,10,17,15,983.37
2017,10,17,16,795.62
2017,10,17,17,476.76
2017,10,17,18,534.85
2017,10,17,19,709.03
2017,10,17,20,636.27
2017,10,17,21,665.15
2017,10,17,22,709.27
2017,10,17,23,1395.22
2017,10,18,0,1753.45
2017,10,18,1,1258.15
2017,10,18,2,642.44
2017,10,18,3,646.9
2017,10,18,4,437.51
2017,10,18,5,400.33
2017,10,18,6,312.31
2017,10,18,7,201.14
2017,10,18,8,213.16
2017,10,18,9,308.92
2017,10,18,10,560.72
2017,10,18,11,863.3
2017,10,18,12,1146.76
2017,10,18,13,1024.81
2017,10,18,14,1053.63
2017,10,18,15,1138.42
2017,10,18,16,573.95
2017,10,18,17,493.32
2017,10,18,18,803.83
2017,10,18,19,755.7
2017,10,18,20,748.72
2017,10,18,21,760.34
2017,10,18,22,887.03
2017,10,18,23,1636.78
2017,10,19,0,1651.56
2017,10,19,1,1130.64
2017,10,19,2,1161.21
2017,10,19,3,913.45
2017,10,19,4,537.72
2017,10,19,5,515.4
2017,10,19,6,279.11
2017,10,19,7,134.98
2017,10,19,8,199.91
2017,10,19,9,399.8
2017,10,19,10,429.11
2017,10,19,11,912.97
2017,10,19,12,1192.52
2017,10,19,13,1369.3
2017,10,19,14,1145.82
2017,10,19,15,1472.42
2017,10,19,16,817.3
2017,10,19,17,573.88
2017,10,19,18,601.93
2017,10,19,19,511.48
2017,10,19,20,801.48
2017,10,19,21,763.23
2017,10,19,22,820.66
2017,10,19,23,1639.72
2017,10,20,0,1883.33
2017,10,20,1,1637.76
2017,10,20,2,1360.77
2017,10,20,3,739.8
2017,10,20,4,519.68
2017,10,20,5,361.4
2017,10,20,6,168.81
2017,10,20,7,224.2
2017,10,20,8,244.33
2017,10,20,9,410.78
2017,10,20,10,541.72
2017,10,20,11,832.89
2017,10,20,12,1061.09
2017,10,20,13,1360.96
2017,10,20,14,1459.94
2017,10,20,15,1493.05
2017,10,20,16,871.81
2017,10,20,17,601.43
2017,10,20,18,593.38
2017,10,20,19,626.28
2017,10,20,20,684.31
2017,10,20,21,904.75
2017,10,20,22,1002.89
2017,10,20,23,1829.63
2017,10,21,0,2076.15
2017,10,21,1,1940.13
2017,10,21,2,1549.99
2017,10,21,3,1009.24
2017,10,21,4,863.33
2017,10,21,5,669.81
2017,10,21,6,403.33
2017,10,21,7,269.56
2017,10,21,8,189.27
2017,10,21,9,423
2017,10,21,10,536.17
2017,10,21,11,475.87
2017,10,21,12,899.38
2017,10,21,13,1347.05
2017,10,21,14,1200.88
2017,10,21,15,1807.34
2017,10,21,16,1071.62
2017,10,21,17,544.69
2017,10,21,18,512.38
2017,10,21,19,600.15
2017,10,21,20,637.36
2017,10,21,21,515.8
2017,10,21,22,535.5
2017,10,21,23,1273.67
2017,10,22,0,1873.95
2017,10,22,1,1684.37
2017,10,22,2,1255.8
2017,10,22,3,790.57
2017,10,22,4,648.99
2017,10,22,5,440.46
2017,10,22,6,263.3
2017,10,22,7,142.68
2017,10,22,8,217.08
2017,10,22,9,287.77
2017,10,22,10,394.71
2017,10,22,11,699.33
2017,10,22,12,1021.39
2017,10,22,13,1315.24
2017,10,22,14,1155.48
2017,10,22,15,1330.69
2017,10,22,16,866.02
2017,10,22,17,746.66
2017,10,22,18,642.76
2017,10,22,19,627.35
2017,10,22,20,605.34
2017,10,22,21,637.72
2017,10,22,22,695.6
2017,10,22,23,1658.97
2017,10,23,0,1879.73
2017,10,23,1,1343.26
2017,10,23,2,1131.59
2017,10,23,3,757.13
2017,10,23,4,766.2
2017,10,23,5,566.6
2017,10,23,6,308.67
2017,10,23,7,269.25
2017,10,23,8,177.6
2017,10,23,9,405.43
2017,10,23,10,538.57
2017,10,23,11,645.58
2017,10,23,12,1005.27
2017,10,23,13,1367.91
2017,10,23,14,1208.36
2017,10,23,15,1154.5
2017,10,23,16,665.63
2017,10,23,17,680.21
2017,10,23,18,560.14
2017,10,23,19,632.62
2017,10,23,20,719.18
2017,10,23,21,716.71
2017,10,23,22,781.38
2017,10,23,23,1632.02
2017,10,24,0,1490.02
2017,10,24,1,945.83
2017,10,24,2,737.06
2017,10,24,3,679.97
2017,10,24,4,514.39
2017,10,24,5,399.99
2017,10,24,6,234.28
2017,10,24,7,248.26
2017,10,24,8,247.93
2017,10,24,9,454.47
2017,10,24,10,526.63
2017,10,24,11,1091.57
2017,10,24,12,1409.54
2017,10,24,13,1380.14
2017,10,24,14,1257.23
2017,10,24,15,1151.42
2017,10,24,16,846.34
2017,10,24,17,626.09
2017,10,24,18,556.71
2017,10,24,19,510.83
2017,10,24,20,626.51
2017,10,24,21,599.17
2017,10,24,22,766
2017,10,24,23,1881.99
2017,10,25,0,1961.85
2017,10,25,1,1654.74
2017,10,25,2,1238.13
2017,10,25,3,857.82
2017,10,25,4,632.37
2017,10,25,5,396.58
2017,10,25,6,341.02
2017,10,25,7,114.71
2017,10,25,8,279.51
2017,10,25,9,482.95
2017,10,25,10,477.01
2017,10,25,11,679.23
2017,10,25,12,1104.94
2017,10,25,13,1433.3
2017,10,25,14,1169.73
2017,10,25,15,1355.6
2017,10,25,16,919.81
2017,10,25,17,684.38
2017,10,25,18,588.56
2017,10,25,19,640.78
2017,10,25,20,782.31
2017,10,25,21,754.65
2017,10,25,22,813.13
2017,10,25,23,1510.03
2017,10,26,0,1781.41
2017,10,26,1,1476.63
2017,10,26,2,1270.99
2017,10,26,3,993.08
2017,10,26,4,558.18
2017,10,26,5,455.09
2017,10,26,6,314.02
2017,10,26,7,168.89
2017,10,26,8,204.05
2017,10,26,9,354.93
2017,10,26,10,457.32
2017,10,26,11,806.59
2017,10,26,12,1061.61
2017,10,26,13,1471.66
2017,10,26,14,1370
2017,10,26,15,1119.1
2017,10,26,16,909.43
2017,10,26,17,548.29
2017,10,26,18,515.91
2017,10,26,19,588.24
2017,10,26,20,821.32
2017,10,26,21,818.9
2017,10,26,22,786.67
2017,10,26,23,1617.81
2017,10,27,0,1887.86
2017,10,27,1,1615.92
2017,10,27,2,1224.75
2017,10,27,3,754.89
2017,10,27,4,687.72
2017,10,27,5,550.71
2017,10,27,6,221.8
2017,10,27,7,132.34
2017,10,27,8,229.26
2017,10,27,9,327.83
2017,10,27,10,467.42
2017,10,27,11,834.01
2017,10,27,12,1257.23
2017,10,27,13,1470.37
2017,10,27,14,1322.98
2017,10,27,15,1480.35
2017,10,27,16,903.75
2017,10,27,17,604.28
2017,10,27,18,600.33
2017,10,27,19,692.03
2017,10,27,20,737.7
2017,10,27,21,745.66
2017,10,27,22,919.93
2017,10,27,23,1656.9
2017,10,28,0,1979
2017,10,28,1,1483.18
2017,10,28,2,969.34
2017,10,28,3,763.41
2017,10,28,4,641.14
2017,10,28,5,572.62
2017,10,28,6,391.62
2017,10,28,7,170.1
2017,10,28,8,214.66
2017,10,28,9,331.56
2017,10,28,10,403.96
2017,10,28,11,585.54
2017,10,28,12,854.66
2017,10,28,13,965.66
2017,10,28,14,1142.9
2017,10,28,15,1388.53
2017,10,28,16,933.66
2017,10,28,17,653.09
2017,10,28,18,581.94
2017,10,28,19,684.39
2017,10,28,20,686.44
2017,10,28,21,468.18
2017,10,28,22,683.96
2017,10,28,23,1500.07
2017,10,29,0,1734.71
2017,10,29,1,1437.41
2017,10,29,2,1353.7
2017,10,29,3,917.26
2017,10,29,4,623.1
2017,10,29,5,464.29
2017,10,29,6,394.75
2017,10,29,7,233.75
2017,10,29,8,209.65
2017,10,29,9,307.97
2017,10,29,10,364.45
2017,10,29,11,631.36
2017,10,29,12,922.48
2017,10,29,13,1123.08
2017,10,29,14,1019.95
2017,10,29,15,1036.92
2017,10,29,16,829.61
2017,10,29,17,686.45
2017,10,29,18,522.92
2017,10,29,19,544.72
2017,10,29,20,632.17
2017,10,29,21,789.2
2017,10,29,22,842.06
2017,10,29,23,1714.27
2017,10,30,0,1784.84
2017,10,30,1,1442.47
2017,10,30,2,838.22
2017,10,30,3,602.88
2017,10,30,4,445.58
2017,10,30,5,410.11
2017,10,30,6,274.66
2017,10,30,7,148.06
2017,10,30,8,237.88
2017,10,30,9,573.37
2017,10,30,10,596.72
2017,10,30,11,801.39
2017,10,30,12,1110.96
2017,10,30,13,1439.77
2017,10,30,14,1223.48
2017,10,30,15,1085.3
2017,10,30,16,854.45
2017,10,30,17,746.98
2017,10,30,18,498.23
2017,10,30,19,544
2017,10,30,20,703.35
2017,10,30,21,759.67
2017,10,30,22,674.18
2017,10,30,23,1810.06
2017,10,31,0,1624.11
2017,10,31,1,1288.97
2017,10,31,2,976.69
2017,10,31,3,579.11
2017,10,31,4,432.8
2017,10,31,5,418.14
2017,10,31,6,193.96
2017,10,31,7,152.83
2017,10,31,8,208.15
2017,10,31,9,491.09
2017,10,31,10,530.7
2017,10,31,11,716.6
2017,10,31,12,1039.45
2017,10,31,13,1312.39
2017,10,31,14,1174.08
2017,10,31,15,1139.81
2017,10,31,16,803.87
2017,10,31,17,548.74
2017,10,31,18,579.32
2017,10,31,19,696.89
2017,10,31,20,840.55
2017,10,31,21,869.16
2017,10,31,22,885.56
2017,10,31,23,1891.94
2017,11,1,0,1825.69
2017,11,1,1,1580.47
2017,11,1,2,1181.98
2017,11,1,3,883.79
2017,11,1,4,544.05
2017,11,1,5,442.78
2017,11,1,6,410.49
2017,11,1,7,115.12
2017,11,1,8,295.48
2017,11,1,9,524.62
2017,11,1,10,586.82
2017,11,1,11,739.75
2017,11,1,12,1076.68
2017,11,1,13,1307.78
2017,11,1,14,1264.43
2017,11,1,15,1311.98
2017,11,1,16,788.25
2017,11,1,17,669.92
2017,11,1,18,485.23
2017,11,1,19,616.18
2017,11,1,20,714.75
2017,11,1,21,666.44
2017,11,1,22,707.47
2017,11,1,23,1738.81
2017,11,2,0,1806.89
2017,11,2,1,1572.12
2017,11,2,2,1161.77
2017,11,2,3,786.08
2017,11,2,4,520.15
2017,11,2,5,314.48
2017,11,2,6,292.04
2017,11,2,7,147.45
2017,11,2,8,255.25
2017,11,2,9,343.43
2017,11,2,10,369.75
2017,11,2,11,692.26
2017,11,2,12,1261.62
2017,11,2,13,1257.62
2017,11,2,14,1179.76
2017,11,2,15,1254.43
2017,11,2,16,568.94
2017,11,2,17,517.38
2017,11,2,18,664.23
2017,11,2,19,700.04
2017,11,2,20,914.96
2017,11,2,21,805.35
2017,11,2,22,735.47
2017,11,2,23,1762.15
2017,11,3,0,1925.06
2017,11,3,1,1301.94
2017,11,3,2,838.77
2017,11,3,3,806.72
2017,11,3,4,516.9
2017,11,3,5,413.02
2017,11,3,6,278.14
2017,11,3,7,148.33
2017,11,3,8,300.9
2017,11,3,9,423.67
